algorithm,input_size,execution_time,nodes_expanded,path_length,run_id,obstacle_prob,found,seed,heuristic_evals,experiment,attempt,weight,memoize_heuristic,dynamic_weight,weight_min,weight_decay_per_1000,tie_breaker
baseline_astar,40,0.00038845799999998043,191,78,0,0.22,1,111,305,exp1_baseline_vs_enhanced,1,,,,,,
enhanced_weighted_astar_dynamic,40,0.00028962500000001556,112,88,1,0.22,1,111,183,exp1_baseline_vs_enhanced,1,2.2,1,1,1.0,0.12,h
baseline_astar,40,0.0002139170000000079,102,78,2,0.22,1,112,183,exp1_baseline_vs_enhanced,2,,,,,,
enhanced_weighted_astar_dynamic,40,0.000256665999999961,99,80,3,0.22,1,112,175,exp1_baseline_vs_enhanced,2,2.2,1,1,1.0,0.12,h
baseline_astar,40,0.00017270900000004863,94,78,4,0.22,1,113,171,exp1_baseline_vs_enhanced,2,,,,,,
enhanced_weighted_astar_dynamic,40,0.00021995800000002008,85,80,5,0.22,1,113,155,exp1_baseline_vs_enhanced,2,2.2,1,1,1.0,0.12,h
baseline_astar,40,0.0003273329999999852,157,78,6,0.22,1,114,267,exp1_baseline_vs_enhanced,1,,,,,,
enhanced_weighted_astar_dynamic,40,0.00029716600000001536,125,86,7,0.22,1,114,198,exp1_baseline_vs_enhanced,1,2.2,1,1,1.0,0.12,h
baseline_astar,40,0.0004955000000000376,256,78,8,0.22,1,115,404,exp1_baseline_vs_enhanced,1,,,,,,
enhanced_weighted_astar_dynamic,40,0.00040645899999997015,168,90,9,0.22,1,115,250,exp1_baseline_vs_enhanced,1,2.2,1,1,1.0,0.12,h
baseline_astar,40,0.00031966700000002346,171,78,10,0.22,1,116,281,exp1_baseline_vs_enhanced,1,,,,,,
enhanced_weighted_astar_dynamic,40,0.0002806670000000122,104,86,11,0.22,1,116,179,exp1_baseline_vs_enhanced,1,2.2,1,1,1.0,0.12,h
baseline_astar,40,0.0003789589999999565,201,78,12,0.22,1,117,321,exp1_baseline_vs_enhanced,1,,,,,,
enhanced_weighted_astar_dynamic,40,0.0002770830000000113,98,86,13,0.22,1,117,181,exp1_baseline_vs_enhanced,1,2.2,1,1,1.0,0.12,h
baseline_astar,40,0.0003478339999999913,176,78,14,0.22,1,118,288,exp1_baseline_vs_enhanced,2,,,,,,
